steer_timestamp,pend_angle
1.079,-0.043
1.097,-0.043
1.107,-0.043
1.116,-0.043
1.138,-0.043
1.15,-0.043
1.163,-0.043
1.179,-0.043
1.186,-0.043
1.199,-0.043
1.213,-0.043
1.225,-0.043
1.239,-0.043
1.249,-0.043
1.274,-0.043
1.279,-0.043
1.286,-0.043
1.299,-0.043
1.319,-0.043
1.328,-0.043
1.341,-0.043
1.357,-0.043
1.365,-0.043
1.376,-0.043
1.386,-0.043
1.401,-0.043
1.412,-0.043
1.437,-0.043
1.448,-0.043
1.461,-0.043
1.474,-0.043
1.486,-0.043
1.498,-0.043
1.511,-0.043
1.523,-0.043
1.537,-0.043
1.549,-0.043
1.561,-0.043
1.573,-0.043
1.586,-0.043
1.604,-0.043
1.616,-0.043
1.628,-0.043
1.639,-0.043
1.649,-0.043
1.662,-0.043
1.677,-0.043
1.699,-0.043
1.711,-0.043
1.724,-0.043
1.737,-0.043
1.749,-0.043
1.762,-0.043
1.774,-0.043
1.787,-0.043
1.799,-0.043
1.813,-0.043
1.825,-0.043
1.836,-0.043
1.849,-0.043
1.861,-0.043
1.874,-0.043
1.886,-0.043
1.899,-0.043
1.911,-0.043
1.923,-0.043
1.937,-0.043
1.949,-0.043
1.963,-0.043
1.974,-0.043
1.989,-0.043
2,-0.043
2.013,-0.043
2.024,-0.043
2.036,-0.043
2.048,-0.043
2.061,-0.043
2.076,-0.043
2.087,-0.043
2.099,-0.043
2.111,-0.043
2.124,-0.043
2.136,-0.043
2.152,-0.043
2.162,-0.043
2.173,-0.043
2.186,-0.043
2.202,-0.043
2.211,-0.043
2.225,-0.043
2.237,-0.043
2.249,-0.043
2.261,-0.043
2.274,-0.043
2.286,-0.043
2.305,-0.043
2.312,-0.043
2.336,-0.043
2.349,-0.043
2.361,-0.043
2.374,-0.043
2.387,-0.043
2.399,-0.043
2.411,-0.043
2.423,-0.043
2.437,-0.043
2.449,-0.043
2.461,-0.043
2.474,-0.043
2.498,-0.043
2.512,-0.043
2.524,-0.043
2.537,-0.043
2.549,-0.043
2.561,-0.043
2.574,-0.043
2.587,-0.043
2.599,-0.043
2.611,-0.043
2.627,-0.043
2.636,-0.043
2.649,-0.043
2.662,-0.043
2.673,-0.043
2.687,-0.043
2.7,-0.043
2.711,-0.043
2.738,-0.043
2.748,-0.043
2.762,-0.043
2.774,-0.043
2.787,-0.043
2.799,-0.043
2.815,-0.043
2.824,-0.043
2.838,-0.043
2.849,-0.043
2.861,-0.043
2.874,-0.043
2.888,-0.043
2.9,-0.043
2.912,-0.043
2.924,-0.043
2.936,-0.043
2.951,-0.043
2.961,-0.043
2.974,-0.043
2.986,-0.043
3,-0.043
3.012,-0.043
3.024,-0.043
3.037,-0.043
3.051,-0.043
3.062,-0.043
3.074,-0.043
3.087,-0.043
3.1,-0.043
3.113,-0.043
3.125,-0.043
3.136,-0.043
3.152,-0.043
3.164,-0.043
3.186,-0.043
3.202,-0.043
3.212,-0.043
3.224,-0.043
3.24,-0.043
3.25,-0.043
3.261,-0.043
3.273,-0.043
3.286,-0.043
3.302,-0.043
3.311,-0.043
3.323,-0.043
3.336,-0.043
3.348,-0.043
3.361,-0.043
3.373,-0.043
3.387,-0.043
3.4,-0.043
3.415,-0.043
3.424,-0.043
3.436,-0.043
3.449,-0.043
3.461,-0.043
3.474,-0.043
3.486,-0.043
3.5,-0.043
3.511,-0.043
3.524,-0.043
3.542,-0.043
3.561,-0.043
3.574,-0.043
3.586,-0.043
3.599,-0.043
3.611,-0.043
3.624,-0.043
3.635,-0.043
3.649,-0.043
3.661,-0.043
3.674,-0.043
3.686,-0.043
3.703,-0.043
3.711,-0.043
3.737,-0.043
3.749,-0.043
3.76,-0.043
3.774,-0.043
3.786,-0.043
3.799,-0.043
3.811,-0.043
3.823,-0.043
3.836,-0.043
3.849,-0.043
3.862,-0.043
3.873,-0.043
3.886,-0.043
3.9,-0.043
3.913,-0.043
3.923,-0.043
3.936,-0.043
3.948,-0.043
3.961,-0.043
3.974,-0.043
3.986,-0.043
3.998,-0.043
4.015,-0.043
4.026,-0.043
4.036,-0.043
4.05,-0.043
4.062,-0.043
4.075,-0.043
4.089,-0.043
4.1,-0.043
4.111,-0.043
4.135,-0.043
4.149,-0.043
4.161,-0.043
4.174,-0.043
4.186,-0.043
4.199,-0.043
4.213,-0.043
4.225,-0.043
4.238,-0.043
4.249,-0.043
